projector,n_galaxies,n_radial_points,global_r,global_rms_kms,global_mean_resid_kms,residual_vs_vmax_r,kappa_outer_median,kappa_outer_cv,F_median_global,F_mean_global,F_vs_logSB_r,residual_vs_logSB_r
const_1_3,175,3213,0.9149160465631835,32.9814289015787,-9.61698651804388,-0.4603991534921336,0.9124044888990449,0.07660009764856093,0.3333333333333333,0.3333333333333333,nan,-0.6272604606905441
const_1_2,175,3213,0.9106435454812741,31.98937365821475,7.198070012187067,-0.0904180501349229,0.9124044888990449,0.07660009764856093,0.5,0.5,nan,-0.3832833851964401
theta_slope,175,3213,0.9175094643182004,30.72706360023191,-4.517623381196773,-0.372868187397761,0.9124044888990449,0.07660009764856093,0.39582707122170774,0.3998796919654494,-0.05243475525337954,-0.567882264007982
kappa_slope,175,3213,0.920691077946584,30.63272379722154,-6.292579940338851,-0.3865917266887252,0.9124044888990449,0.07660009764856093,0.3726557159760977,0.3737880560467499,0.04638806511796967,-0.5808974369221442
mixed_slope,175,3213,0.9205359968357755,30.55006251533032,-5.750160348160978,-0.38582783252393704,0.9124044888990449,0.07660009764856093,0.37821190811259664,0.38164483788206943,0.033501172259868574,-0.579533969415167
div_partition,175,3213,0.910643545481274,31.989373658214692,7.198070012186921,-0.09041805013492506,0.9124044888990449,0.07660009764856093,0.49999999999999933,0.499999999999999,-0.062065221544999945,-0.38328338519644256
