# ARK Zero-Parameter Inverse Solver V5.4 (Final)
# alpha = 4pi/3 = 4.188790 (DERIVED)
# Free parameters: 0
# Upsilon_disk = 0.5, Upsilon_bulge = 0.7
# Global r = 0.8922, Global RMS = 34.8 km/s
# chi2/N (composite) = 7.6581
#
# Galaxy                Rad     Vobs     errV  Vbar_meas  Vbar_pred     kappa     Vgas    Vdisk     Vbul
#                       kpc     km/s     km/s       km/s       km/s               km/s     km/s     km/s
  DDO161              2.960    37.60     3.05     29.668     26.139    1.0000    23.28    26.01     0.00
  DDO161              3.430    40.60     3.68     30.434     28.027    1.0000    24.59    25.36     0.00
  DDO161              3.900    42.70     3.25     31.131     29.261    1.0000    25.62    25.01     0.00
  DDO161              4.370    45.50     2.99     31.527     30.940    1.0000    26.35    24.48     0.00
  DDO161              4.860    48.90     1.96     31.846     32.961    1.0000    27.08    23.70     0.00
  DDO161              5.340    51.50     1.53     32.106     34.391    1.0000    27.81    22.69     0.00
  DDO161              5.810    53.00     1.86     32.243     35.051    1.0000    28.40    21.59     0.00
  DDO161              6.280    55.00     1.48     32.518     36.005    1.0000    28.98    20.86     0.00
  DDO161              6.750    57.60     0.99     32.811     37.294    1.0000    29.57    20.11     0.00
  DDO161              7.220    59.70     1.19     33.255     38.193    1.0000    30.30    19.38     0.00
  DDO161              7.690    60.50     1.26     33.868     38.215    1.0000    31.18    18.70     0.00
  DDO161              8.160    61.80     1.33     34.510     38.516    1.0000    32.06    18.06     0.00
  DDO161              8.640    62.90     1.35     34.899     38.635    1.0000    32.64    17.47     0.00
  DDO161              9.110    63.00     2.09     35.323     38.122    1.0000    33.23    16.94     0.00
  DDO161              9.580    64.50     2.38     35.346     38.416    1.0000    33.38    16.44     0.00
  DDO161             10.050    65.60     1.08     35.241     38.408    1.0000    33.38    15.98     0.00
  DDO161             10.520    67.50     3.22     34.589     38.786    1.0000    32.79    15.57     0.00
  DDO161             10.990    66.80     2.37     33.809     37.619    1.0000    32.06    15.18     0.00
  DDO161             11.460    66.80     0.95     32.892     36.836    1.0000    31.18    14.81     0.00
  DDO161             11.940    66.60     0.96     31.981     35.899    1.0000    30.30    14.47     0.00
  DDO161             12.410    66.80     0.99     31.077     35.162    1.0000    29.42    14.16     0.00
  DDO161             12.900    66.30     0.74     30.318     33.990    1.0000    28.69    13.86     0.00
  DDO161             13.370    66.10     1.31     29.423     32.986    1.0000    27.81    13.59     0.00
