# ARK Zero-Parameter Inverse Solver V5.4 (Final)
# alpha = 4pi/3 = 4.188790 (DERIVED)
# Free parameters: 0
# Upsilon_disk = 0.5, Upsilon_bulge = 0.7
# Global r = 0.8922, Global RMS = 34.8 km/s
# chi2/N (composite) = 7.6581
#
# Galaxy                Rad     Vobs     errV  Vbar_meas  Vbar_pred     kappa     Vgas    Vdisk     Vbul
#                       kpc     km/s     km/s       km/s       km/s               km/s     km/s     km/s
  NGC0289            52.990   175.00    11.00     84.955    109.632    1.0000    65.09    77.21     0.00
  NGC0289            55.960   172.00    11.60     83.368    105.639    1.0000    64.29    75.06     0.00
  NGC0289            59.030   168.00    12.60     81.124    101.049    1.0000    62.60    72.97     0.00
  NGC0289            62.000   158.00     5.38     78.156     93.178    1.0000    59.81    71.15     0.00
  NGC0289            65.070   158.00     6.50     75.322     91.314    1.0000    57.13    69.42     0.00
  NGC0289            68.050   166.00    15.50     73.091     93.861    1.0000    55.14    67.85     0.00
  NGC0289            71.120   165.00     8.75     70.958     90.974    1.0000    53.24    66.34     0.00
  NGC0300             0.910    33.10     3.90     22.288     24.432    0.9924     0.00    31.52     0.00
  NGC0300             1.360    46.70     2.70     26.517     34.390    1.0000     0.00    37.50     0.00
  NGC0300             1.820    53.90     4.70     29.727     39.389    1.0000     0.00    42.04     0.00
  NGC0300             2.270    58.80     2.50     32.765     42.635    1.0000     2.86    46.16     0.00
  NGC0300             2.720    65.60     2.60     34.994     47.170    1.0000     7.40    48.37     0.00
  NGC0300             3.170    70.80     2.70     36.184     50.444    1.0000     8.38    49.78     0.00
  NGC0300             3.630    82.10     4.90     36.674     57.851    1.0000     8.42    50.48     0.00
  NGC0300             4.080    84.10     6.60     36.975     58.532    1.0000     9.19    50.65     0.00
  NGC0300             4.540    83.40     6.20     37.598     57.315    1.0000    12.00    50.39     0.00
  NGC0300             4.990    81.50     2.70     37.557     55.347    1.0000    12.98    49.84     0.00
  NGC0300             5.450    80.80     4.00     37.244     54.235    1.0000    13.57    49.05     0.00
  NGC0300             5.900    82.80    12.40     37.365     54.938    1.0000    15.44    48.12     0.00
  NGC0300             6.360    88.20    11.70     38.913     57.767    1.0000    20.16    47.07     0.00
  NGC0300             6.810    88.50     8.50     40.530     57.171    1.0000    24.20    45.98     0.00
  NGC0300             7.260    88.40     8.90     41.688     56.306    1.0000    27.05    44.86     0.00
  NGC0300             7.710    88.20    10.80     41.870     55.376    1.0000    28.23    43.73     0.00
  NGC0300             8.170    89.50     3.10     41.012     55.336    1.0000    27.84    42.59     0.00
  NGC0300             8.620    89.70     9.50     39.843     54.592    1.0000    26.95    41.50     0.00
  NGC0300             9.070    93.70     7.30     38.965     56.055    1.0000    26.46    40.45     0.00
  NGC0300             9.530    97.00     5.70     38.290     56.884    1.0000    26.26    39.41     0.00
  NGC0300             9.960    96.20     1.50     37.083     55.284    1.0000    25.18    38.50     0.00
  NGC0300            10.450    94.80     2.10     35.832     53.187    1.0000    24.10    37.50     0.00
  NGC0300            10.930    92.50    13.90     34.647     50.654    1.0000    23.02    36.62     0.00
  NGC0300            11.320    92.80    10.60     33.649     49.787    1.0000    22.03    35.97     0.00
  NGC0300            11.800    93.50    12.10     33.042     48.813    1.0000    21.74    35.19     0.00
  NGC0801             1.170   123.00     6.20    129.893     59.387    0.4255     2.58   183.66     0.00
  NGC0801             1.560   142.00     6.20    148.999     68.875    0.4285     3.43   210.66     0.00
  NGC0801             1.960   205.00     6.20    164.366     99.853    0.4308     4.28   232.37     0.00
  NGC0801             2.730   228.00     6.20    187.224    112.898    0.4420     5.96   264.64     0.00
  NGC0801             3.520   238.00     6.20    199.224    119.224    0.4494     7.61   281.54     0.00
  NGC0801            10.590   229.00     4.20    191.741    136.873    0.6158    23.20   269.17     0.00
  NGC0801            17.650   225.00     6.90    176.277    148.576    0.7660    37.46   243.60     0.00
  NGC0801            24.610   220.00     4.00    167.102    157.295    0.9383    47.21   226.69     0.00
  NGC0801            31.670   222.00     2.40    166.105    158.721    1.0000    59.26   219.45     0.00
  NGC0801            38.740   219.00     4.10    155.879    150.994    1.0000    61.77   202.40     0.00
  NGC0801            45.800   214.00     4.70    142.221    141.986    1.0000    58.45   183.36     0.00
  NGC0801            52.860   216.00     2.60    133.699    137.347    1.0000    58.96   169.70     0.00
  NGC0801            59.820   216.00     8.80    130.344    130.803    1.0000    66.89   158.21     0.00
  NGC0891             0.920   234.00    12.00    229.907    136.863    0.5948    -5.19   121.44   254.98
  NGC0891             2.320   192.00    12.00    252.097    132.385    0.8399   -10.42   280.89   185.98
  NGC0891             3.240   212.00     6.30    265.080    154.217    0.9656   -11.44   325.09   158.37
  NGC0891             4.170   223.00     4.41    249.029    161.616    1.0000   -11.64   311.44   139.66
  NGC0891             5.100   222.00     4.01    232.906    157.342    1.0000   -11.54   293.95   126.35
  NGC0891             6.030   224.00     3.85    220.661    155.260    1.0000   -11.44   280.55   116.30
  NGC0891             6.960   224.00     3.23    212.139    151.754    1.0000    -9.02   271.70   108.06
  NGC0891             7.890   226.00     3.40    202.862    149.515    1.0000     6.44   260.33   101.60
  NGC0891             8.800   226.00     3.21    197.731    145.895    1.0000    16.24   254.40    96.17
  NGC0891             9.730   227.00     2.75    188.722    142.695    1.0000    25.64   241.26    91.46
  NGC0891            10.640   227.00     2.65    182.180    138.765    1.0000    32.27   231.49    87.46
  NGC0891            11.580   224.00     2.35    177.045    132.785    1.0000    35.44   224.36    83.84
  NGC0891            12.520   220.00     2.43    170.649    126.253    1.0000    42.18   213.50    80.63
  NGC0891            13.460   218.00     2.30    167.376    120.860    1.0000    46.37   208.00    77.76
  NGC0891            14.400   217.00     2.77    162.967    115.871    1.0000    49.33   200.84    75.18
  NGC0891            15.330   216.00     4.43    157.913    110.705    1.0000    49.33   193.84    72.86
  NGC0891            16.270   210.00     4.47    153.047    102.885    1.0000    47.29   188.07    70.73
  NGC0891            17.110   208.00     4.35    148.400     97.554    1.0000    45.04   182.56    68.97
  NGC1003             1.250    47.00     7.60     40.343     31.204    0.7585     2.05    56.98     0.00
  NGC1003             2.080    59.50     4.50     46.102     40.388    0.7982     6.07    64.63     0.00
  NGC1003             2.900    71.60     3.70     54.061     49.736    0.8432    10.81    74.91     0.00
  NGC1003             3.730    77.60     3.10     56.892     55.218    0.8946    14.74    77.71     0.00
  NGC1003             4.560    83.40     3.60     58.777     60.759    0.9498    17.00    79.57     0.00
  NGC1003             5.390    89.70     3.80     59.349     66.537    1.0000    19.26    79.39     0.00
  NGC1003             6.220    93.80     2.40     56.212     68.994    1.0000    21.62    73.38     0.00
  NGC1003             7.040    99.00     3.00     54.525     72.188    1.0000    23.59    69.52     0.00
  NGC1003             7.870   103.00     2.50     53.901     74.410    1.0000    27.03    65.95     0.00
  NGC1003             8.700   100.00     2.30     52.765     71.584    1.0000    28.50    62.80     0.00
  NGC1003             9.540    98.30     2.00     51.387     69.762    1.0000    29.19    59.81     0.00
  NGC1003            10.340    98.40     1.70     49.749     69.280    1.0000    29.29    56.87     0.00
  NGC1003            11.210    94.50     1.80     48.826     65.992    1.0000    30.27    54.18     0.00
  NGC1003            11.980    94.90     2.40     48.368     65.819    1.0000    31.35    52.09     0.00
  NGC1003            12.850    95.30     1.60     47.832     65.588    1.0000    32.24    49.97     0.00
  NGC1003            13.720    96.90     1.80     47.256     66.172    1.0000    32.83    48.07     0.00
  NGC1003            14.490    97.20     1.30     46.641     65.914    1.0000    33.03    46.57     0.00
  NGC1003            15.360   100.00     1.80     45.943     67.264    1.0000    33.12    45.03     0.00
  NGC1003            16.130   104.00     2.70     45.138     69.417    1.0000    32.83    43.81     0.00
  NGC1003            17.000   104.00     3.20     45.033     68.787    1.0000    33.52    42.53     0.00
  NGC1003            17.780   105.00     3.40     43.664     68.872    1.0000    32.34    41.49     0.00
  NGC1003            18.650   109.00     3.90     42.645     70.793    1.0000    31.65    40.42     0.00
  NGC1003            19.520   110.00     3.80     40.863     70.694    1.0000    29.88    39.42     0.00
  NGC1003            20.290   107.00     3.80     40.114     68.127    1.0000    29.39    38.61     0.00
  NGC1003            21.160   106.00     3.80     39.415     66.795    1.0000    29.00    37.75     0.00
  NGC1003            21.930   106.00     4.00     38.275     66.179    1.0000    27.91    37.04     0.00
  NGC1003            22.800   108.00     3.40     37.271     66.697    1.0000    27.03    36.29     0.00
  NGC1003            23.670   109.00     3.20     35.929     66.545    1.0000    25.65    35.58     0.00
  NGC1003            24.440   110.00     3.30     36.065     66.444    1.0000    26.24    34.99     0.00
  NGC1003            25.310   110.00     2.70     35.471     65.619    1.0000    25.85    34.35     0.00
  NGC1003            26.080   110.00     2.40     34.785     64.874    1.0000    25.26    33.82     0.00
  NGC1003            26.950   113.00     2.50     35.674     65.737    1.0000    26.83    33.25     0.00
  NGC1003            27.730   114.00     2.20     38.507     65.447    1.0000    30.76    32.76     0.00
  NGC1003            28.600   112.00     1.70     39.087     63.328    1.0000    31.75    32.24     0.00
  NGC1003            29.470   113.00     1.80     41.245     62.894    1.0000    34.60    31.75     0.00
  NGC1003            30.240   115.00     1.60     43.512     63.055    1.0000    37.45    31.33     0.00
  NGC1090             0.350    20.90     9.81     34.469     13.126    0.7177    -0.82    48.76     0.00
  NGC1090             1.070    61.70     8.19     69.435     39.112    0.7335    -2.50    98.26     0.00
  NGC1090             1.600    81.30     4.32     80.680     52.052    0.7513    -3.73   114.22     0.00
  NGC1090             3.700   124.00     3.41    101.582     84.102    0.8654    -7.40   144.04     0.00
  NGC1090             5.090   156.00     7.02    108.659    110.788    0.9790    -9.39   154.24     0.00
  NGC1090             6.610   166.00     6.34    117.008    116.412    1.0000   -10.89   166.19     0.00
  NGC1090             8.170   165.00    12.10    121.392    112.894    1.0000    -5.79   171.87     0.00
  NGC1090             9.110   174.00     4.84    119.924    117.240    1.0000     9.64   169.05     0.00
  NGC1090            10.370   164.00     5.86    118.876    108.245    1.0000    17.85   166.21     0.00
  NGC1090            11.280   176.00     7.35    120.773    114.410    1.0000    22.68   167.76     0.00
  NGC1090            13.620   174.00     3.28    120.863    108.297    1.0000    31.86   164.88     0.00
  NGC1090            15.040   168.00     2.23    118.138    101.790    1.0000    35.59   159.31     0.00
  NGC1090            16.370   166.00     2.23    114.703     98.070    1.0000    38.11   153.00     0.00
  NGC1090            17.590   167.00     4.59    110.842     96.300    1.0000    40.13   146.12     0.00
  NGC1090            18.800   167.00     5.30    107.565     93.873    1.0000    41.74   140.20     0.00
  NGC1090            20.130   165.00     3.48    104.268     90.047    1.0000    42.85   134.43     0.00
  NGC1090            21.350   165.00     3.12    101.527     87.501    1.0000    43.55   129.70     0.00
  NGC1090            22.570   165.00     2.39     99.243     84.844    1.0000    44.16   125.69     0.00
  NGC1090            23.890   165.00     2.23     97.130     81.824    1.0000    45.07   121.68     0.00
  NGC1090            25.110   163.00     2.23     95.701     77.958    1.0000    46.68   118.15     0.00
  NGC1090            26.330   162.00     2.23     94.559     74.513    1.0000    48.39   114.89     0.00
  NGC1090            27.650   162.00     2.23     93.467     71.116    1.0000    50.01   111.67     0.00
  NGC1090            28.870   162.00     2.23     92.647     67.750    1.0000    51.42   108.99     0.00
  NGC1090            30.090   160.00     2.23     91.586     61.745    0.9456    52.53   106.10     0.00
  NGC1705             0.220    50.20     7.50     24.167     28.660    0.5631     5.62    33.24     0.00
  NGC1705             0.660    62.20     7.51     34.432     39.147    0.6869    13.36    44.88     0.00
  NGC1705             1.110    72.40     5.35     35.422     49.129    0.8187    17.38    43.65     0.00
  NGC1705             1.550    73.20     3.31     32.819     53.165    0.9788    17.38    39.37     0.00
  NGC1705             2.000    72.90     3.21     30.296     52.097    1.0000    17.17    35.30     0.00
  NGC1705             2.450    72.60     2.73     27.731     50.486    1.0000    16.22    31.81     0.00
  NGC1705             2.890    71.50     3.41     25.527     48.408    1.0000    15.26    28.94     0.00
  NGC1705             3.340    71.10     4.38     23.668     46.815    1.0000    14.31    26.66     0.00
  NGC1705             3.780    71.40     4.60     22.151     45.684    1.0000    13.46    24.88     0.00
  NGC1705             4.220    71.50     5.68     21.278     44.362    1.0000    13.36    23.42     0.00
  NGC1705             4.660    71.50     6.20     20.613     42.906    1.0000    13.36    22.20     0.00
  NGC1705             5.110    71.30     6.43     20.115     41.216    1.0000    13.46    21.14     0.00
  NGC1705             5.560    71.80     9.68     19.637     39.801    1.0000    13.46    20.22     0.00
  NGC1705             6.000    71.50    10.50     19.843     37.830    1.0000    14.31    19.44     0.00
  NGC2366             0.120     4.20     3.15      2.755      2.801    0.8789    -0.46     3.95     0.00
  NGC2366             0.360     9.41     1.83      7.902      6.363    0.9063    -0.53    11.20     0.00
  NGC2366             0.590    15.30     1.37     11.361     10.601    0.9569     1.73    15.88     0.00
  NGC2366             0.830    18.40     1.64     14.533     12.980    1.0000     4.19    19.68     0.00
  NGC2366             1.070    23.40     2.08     17.024     16.425    1.0000     6.57    22.21     0.00
  NGC2366             1.310    28.10     2.46     19.132     19.599    1.0000     9.69    23.33     0.00
  NGC2366             1.540    33.10     2.01     20.656     22.913    1.0000    12.94    22.77     0.00
  NGC2366             1.790    37.50     1.62     22.321     25.702    1.0000    15.67    22.48     0.00
  NGC2366             2.020    40.50     1.68     23.838     27.467    1.0000    17.89    22.28     0.00
  NGC2366             2.260    42.30     1.69     24.797     28.347    1.0000    19.31    22.00     0.00
  NGC2366             2.490    45.20     1.91     25.129     29.912    1.0000    20.12    21.29     0.00
  NGC2366             2.740    47.40     1.95     25.550     30.895    1.0000    21.03    20.52     0.00
  NGC2366             2.970    48.10     1.74     26.207     30.884    1.0000    22.14    19.83     0.00
  NGC2366             3.210    48.80     1.08     26.809     30.822    1.0000    23.15    19.12     0.00
  NGC2366             3.440    50.70     1.55     27.285     31.481    1.0000    23.96    18.46     0.00
  NGC2366             3.690    52.10     2.78     27.594     31.691    1.0000    24.56    17.79     0.00
  NGC2366             3.920    53.00     2.98     27.864     31.576    1.0000    25.07    17.20     0.00
  NGC2366             4.160    53.70     2.39     27.872     31.245    1.0000    25.27    16.63     0.00
  NGC2366             4.400    51.20     2.21     27.898     29.072    1.0000    25.47    16.10     0.00
  NGC2366             4.640    51.60     1.45     27.952     28.575    1.0000    25.68    15.61     0.00
  NGC2366             4.870    51.50     1.84     28.295     27.794    1.0000    26.18    15.18     0.00
  NGC2366             5.110    50.40     2.53     28.565     26.442    1.0000    26.59    14.76     0.00
  NGC2366             5.350    48.50     4.60     28.559     24.725    1.0000    26.69    14.37     0.00
  NGC2366             5.590    50.00     5.91     28.375     24.718    1.0000    26.59    14.01     0.00
  NGC2366             5.820    49.00     7.42     28.009     23.454    1.0000    26.28    13.70     0.00
  NGC2366             6.060    49.40     5.92     27.835     22.800    1.0000    26.18    13.37     0.00
  NGC2403             0.160    24.50     2.83     16.412      9.631    0.3321     0.00    23.21     0.00
  NGC2403             0.260    35.30     2.46     24.982     14.072    0.3412     0.00    35.33     0.00
  NGC2403             0.360    43.20     1.12     33.268     17.661    0.3585     1.92    46.97     0.00
  NGC2403             0.460    52.00     1.25     40.144     22.007    0.3839     2.29    56.68     0.00
  NGC2403             0.560    60.90     2.93     45.169     26.879    0.4172     2.64    63.77     0.00
  NGC2403             0.660    65.80     1.25     47.866     30.429    0.4578     3.00    67.56     0.00
  NGC2403             0.760    71.70     1.25     50.196     34.813    0.5048     3.34    70.83     0.00
  NGC2403             0.860    74.60     1.60     51.609     38.023    0.5567     3.68    72.80     0.00
  NGC2403             0.960    74.60     1.03     53.093     39.822    0.6114     4.02    74.87     0.00
  NGC2403             1.060    76.60     1.12     54.707     42.665    0.6669     4.37    77.12     0.00
  NGC2403             1.160    78.50     1.60     56.394     45.419    0.7214     4.75    79.47     0.00
  NGC2403             1.270    83.40     1.80     58.338     49.920    0.7746     5.15    82.18     0.00
  NGC2403             1.360    86.40     1.60     60.490     53.173    0.8215     5.51    85.19     0.00
  NGC2403             1.470    87.40     1.41     62.449     55.094    0.8658     5.76    87.94     0.00
  NGC2403             1.570    90.30     1.41     64.462     57.975    0.9022     5.98    90.77     0.00
  NGC2403             1.670    93.30     1.60     66.743     60.744    0.9323     6.21    93.98     0.00
  NGC2403             1.770    93.30     1.41     68.791     61.358    0.9562     6.42    96.86     0.00
  NGC2403             1.870    95.20     1.25     70.463     63.042    0.9747     6.61    99.21     0.00
  NGC2403             1.970    97.20     1.60     72.037     64.688    0.9900     6.81   101.42     0.00
  NGC2403             2.080    99.10     2.02     73.725     66.078    1.0000     7.01   103.79     0.00
  NGC2403             2.180    98.20     2.02     75.354     65.293    1.0000     7.27   106.07     0.00
  NGC2403             2.280    98.20     1.60     75.845     65.115    1.0000     7.54   106.73     0.00
  NGC2403             2.370    98.20     1.00     75.493     64.959    1.0000     7.81   106.19     0.00
  NGC2403             2.470    97.20     1.12     75.104     64.132    1.0000     8.25   105.57     0.00
  NGC2403             2.570    98.20     1.41     74.819     64.630    1.0000     8.77   105.08     0.00
  NGC2403             2.680    98.20     1.12     74.400     64.454    1.0000     9.31   104.39     0.00
  NGC2403             2.780    98.20     1.60     74.069     64.298    1.0000     9.95   103.80     0.00
  NGC2403             2.880    99.10     2.69     73.765     64.732    1.0000    10.97   103.16     0.00
  NGC2403             2.980   100.00     2.69     73.584     65.163    1.0000    11.96   102.68     0.00
  NGC2403             3.080   102.00     3.16     73.618     66.306    1.0000    13.06   102.46     0.00
  NGC2403             3.190   101.00     3.40     73.684     65.483    1.0000    14.06   102.29     0.00
  NGC2403             3.290   101.00     3.40     74.031     65.330    1.0000    15.05   102.51     0.00
  NGC2403             3.390   103.00     2.93     74.477     66.467    1.0000    16.15   102.82     0.00
  NGC2403             3.490   107.00     2.46     74.865     68.880    1.0000    17.15   103.06     0.00
  NGC2403             3.590   110.00     2.46     75.023     70.628    1.0000    18.14   102.95     0.00
  NGC2403             3.690   112.00     3.40     75.412     71.720    1.0000    19.24   103.12     0.00
  NGC2403             3.790   114.00     5.10     75.544     72.801    1.0000    20.24   102.93     0.00
  NGC2403             3.900   118.00     5.10     75.468     75.119    1.0000    21.03   102.50     0.00
  NGC2403             3.990   118.00     4.85     75.349     74.921    1.0000    21.83   101.99     0.00
  NGC2403             4.470   118.00     5.36     74.904     73.891    1.0000    25.72    99.49     0.00
  NGC2403             4.970   121.00     2.57     74.052     74.687    1.0000    27.81    97.06     0.00
  NGC2403             5.470   124.00     0.22     72.943     75.411    1.0000    29.41    94.40     0.00
  NGC2403             5.960   125.00     0.88     71.378     74.895    1.0000    30.70    91.13     0.00
  NGC2403             6.460   126.00     0.45     69.772     74.339    1.0000    31.70    87.90     0.00
  NGC2403             6.960   126.00     0.55     68.677     73.188    1.0000    33.29    84.95     0.00
  NGC2403             7.450   126.00     0.45     67.710     72.070    1.0000    34.99    81.98     0.00
  NGC2403             7.950   126.00     0.24     66.838     70.936    1.0000    36.58    79.11     0.00
  NGC2403             8.450   127.00     1.45     66.280     70.348    1.0000    38.38    76.42     0.00
  NGC2403             8.940   128.00     1.12     65.896     69.747    1.0000    39.97    74.09     0.00
  NGC2403             9.440   128.00     1.68     65.527     68.554    1.0000    41.47    71.75     0.00
  NGC2403             9.940   127.00     2.56     65.061     66.837    1.0000    42.57    69.58     0.00
  NGC2403            10.430   127.00     1.24     64.946     65.678    1.0000    43.96    67.61     0.00
  NGC2403            10.930   128.00     0.21     64.745     64.983    1.0000    45.06    65.75     0.00
  NGC2403            11.430   130.00     1.13     64.418     64.722    1.0000    45.76    64.12     0.00
  NGC2403            11.920   130.00     2.23     63.922     63.431    1.0000    46.15    62.55     0.00
  NGC2403            12.420   132.00     2.68     63.564     63.024    1.0000    46.65    61.06     0.00
  NGC2403            12.920   133.00     2.68     63.123     62.044    1.0000    46.95    59.67     0.00
  NGC2403            13.420   133.00     3.37     62.363     60.538    1.0000    46.75    58.37     0.00
  NGC2403            13.910   133.00     3.81     61.469     59.021    1.0000    46.25    57.26     0.00
  NGC2403            14.410   133.00     2.56     60.714     57.427    1.0000    45.95    56.12     0.00
  NGC2403            14.910   134.00     0.56     60.001     56.188    1.0000    45.66    55.05     0.00
  NGC2403            15.400   134.00     0.79     59.243     54.414    0.9975    45.26    54.06     0.00
  NGC2403            15.900   133.00     0.67     58.428     49.448    0.8902    44.76    53.11     0.00
  NGC2403            16.400   134.00     2.35     57.582     45.045    0.7706    44.16    52.26     0.00
  NGC2403            16.890   134.00     4.13     56.592     40.172    0.6439    43.36    51.43     0.00
  NGC2403            17.390   136.00     3.91     55.690     35.953    0.5221    42.67    50.61     0.00
  NGC2403            17.890   136.00     6.38     54.728     31.445    0.4129    41.87    49.84     0.00
  NGC2403            18.380   135.00     8.39     53.806     27.252    0.3223    41.07    49.16     0.00
  NGC2403            18.880   133.00     7.83     52.876     23.649    0.2542    40.27    48.46     0.00
  NGC2403            19.380   134.00     6.26     52.260     21.365    0.2066    39.87    47.78     0.00
  NGC2403            19.870   136.00     5.60     51.973     19.885    0.1750    39.87    47.15     0.00
  NGC2403            20.370   135.00     5.24     51.688     18.509    0.1545    39.87    46.52     0.00
  NGC2403            20.870   134.00     3.12     51.442     17.558    0.1416    39.87    45.97     0.00
  NGC2683             2.890   189.00    10.00    162.686    106.856    0.5328     7.68   203.92    89.57
  NGC2683             5.770   212.00     5.00    171.898    136.361    0.6880    21.36   229.24    63.44
  NGC2683             8.660   206.00     5.00    147.557    148.658    0.8984    17.89   197.87    51.78
  NGC2683            11.540   200.00     5.00    138.264    147.202    1.0000    24.41   185.00    44.86
  NGC2683            14.430   172.00    12.00    120.481    122.137    1.0000    25.80   159.52    40.12
  NGC2683            17.310   190.00    10.00    108.954    130.045    1.0000    25.80   143.29    36.63
  NGC2683            20.200   169.00    10.00     99.648    111.031    1.0000    23.72   130.86    33.91
  NGC2683            23.080   150.00    10.00     92.075     95.056    1.0000    20.53   121.26    31.72
  NGC2683            28.850   160.00    10.00     81.437     93.684    1.0000    17.48   107.36    28.37
  NGC2683            31.740   155.00    10.00     77.392     86.406    1.0000    16.50   102.03    27.05
  NGC2683            34.620   151.00    12.00     73.941     79.776    1.0000    15.67    97.49    25.90
  NGC2841             3.440   285.00    14.40    231.304    214.679    0.8694    -0.57   163.40   239.50
  NGC2841             3.770   297.00    13.60    226.785    225.954    0.8911    -0.57   171.13   229.25
  NGC2841             4.130   303.00     8.47    223.618    232.171    0.9099    -0.43   180.88   219.24
  NGC2841             4.470   306.00     5.93    221.088    234.732    0.9206    -0.10   188.37   210.91
  NGC2841             4.800   307.00     5.93    218.957    234.889    0.9244    -0.19   194.64   203.54
  NGC2841             5.130   304.00     8.47    217.364    231.325    0.9229    -0.28   200.57   196.88
  NGC2841             5.480   308.00     8.47    216.188    232.722    0.9196    -0.38   206.64   190.44
  NGC2841             5.830   313.00    12.70    214.867    234.536    0.9151    -0.48   211.29   184.57
  NGC2841             6.160   314.00     9.32    213.809    232.987    0.9095    -0.53   215.14   179.57
  NGC2841             6.510   315.00     6.78    214.430    231.527    0.9069     3.83   221.84   174.68
  NGC2841             6.860   317.00     8.47    215.077    230.889    0.9071     8.02   227.72   170.15
  NGC2841             7.180   320.00     7.63    215.315    231.016    0.9090    12.15   231.73   166.32
  NGC2841             7.510   316.00    20.50    215.646    226.489    0.9151    16.24   235.48   162.63
  NGC2841             7.850   318.00    23.40    216.601    226.689    0.9252    20.27   239.96   159.08
  NGC2841             8.210   321.00     8.48    217.186    228.149    0.9396    24.66   243.42   155.54
  NGC2841             8.570   323.00     8.66    216.807    229.313    0.9561    27.10   245.15   152.23
  NGC2841             8.900   321.00    12.70    216.089    227.790    0.9714    29.42   245.80   149.38
  NGC2841             9.240   323.00    11.00    214.767    229.421    0.9864    31.74   245.24   146.61
  NGC2841             9.600   323.00    10.40    213.214    229.889    1.0000    34.31   244.14   143.83
  NGC2841             9.930   322.00    13.60    212.183    229.283    1.0000    36.63   243.64   141.42
  NGC2841            10.270   321.00    13.60    211.480    228.713    1.0000    38.95   243.60   139.06
  NGC2841            10.600   323.00     9.32    210.748    230.145    1.0000    41.02   243.38   136.88
  NGC2841            10.930   322.00    11.90    210.075    229.222    1.0000    43.22   243.08   134.80
  NGC2841            11.270   321.00    11.00    209.254    227.644    0.9874    45.42   242.44   132.75
  NGC2841            12.310   323.00     4.24    205.377    230.957    1.0000    52.25   237.30   127.02
  NGC2841            14.350   319.00     4.24    193.818    230.635    1.0000    56.77   222.06   117.64
  NGC2841            16.400   308.00     4.24    181.098    223.162    1.0000    51.89   207.98   110.04
  NGC2841            18.480   299.00     5.66    170.997    215.856    1.0000    48.35   196.87   103.67
  NGC2841            20.570   299.00     5.66    164.223    214.269    1.0000    54.45   185.72    98.26
  NGC2841            22.510   298.00     5.66    160.883    211.215    1.0000    63.61   176.98    93.93
  NGC2841            24.590   296.00     5.66    155.887    207.264    1.0000    66.17   168.93    89.87
  NGC2841            26.680   293.00     4.24    148.448    202.692    1.0000    61.90   161.21    86.28
  NGC2841            28.770   289.00     4.24    141.739    197.544    1.0000    58.85   153.59    83.08
  NGC2841            30.700   289.00     4.24    136.621    195.373    1.0000    57.01   147.56    80.43
  NGC2841            32.790   288.00     4.24    132.690    192.350    1.0000    57.38   141.95    77.82
  NGC2841            34.880   285.00     4.24    130.375    188.040    1.0000    60.43   136.82    75.46
  NGC2841            36.960   283.00     2.83    128.960    184.461    1.0000    64.09   132.38    73.30
  NGC2841            38.900   275.00     2.83    127.773    177.251    1.0000    66.90   128.66    71.45
  NGC2841            40.990   272.00     2.83    126.077    173.257    1.0000    68.61   124.87    69.61
  NGC2841            43.080   271.00     2.83    123.972    170.579    1.0000    68.98   121.52    67.90
  NGC2841            45.160   274.00     4.24    121.190    170.375    1.0000    67.76   118.47    66.31
  NGC2841            47.100   277.00     4.24    117.898    170.197    1.0000    65.19   115.75    64.93
  NGC2841            49.190   281.00     4.24    114.453    170.327    1.0000    62.26   113.11    63.54
  NGC2841            51.270   286.00     4.24    111.772    170.874    1.0000    60.55   110.59    62.24
  NGC2841            53.360   282.00     4.24    110.165    165.955    1.0000    60.55   108.30    61.01
  NGC2841            55.300   283.00     4.24    109.807    164.156    1.0000    62.39   106.31    59.93
  NGC2841            57.380   288.00     5.66    109.878    164.326    1.0000    64.95   104.23    58.83
  NGC2841            59.470   287.00     5.66    109.990    160.899    1.0000    67.27   102.32    57.79
  NGC2841            61.560   289.00     7.07    109.546    159.037    1.0000    68.49   100.51    56.80
  NGC2841            63.640   294.00     7.07    108.558    158.583    1.0000    68.73    98.76    55.86
  NGC2903             0.320    44.00     8.00    139.880     29.217    0.7746     0.01   197.82     0.00
  NGC2903             0.640    64.00     8.00    144.384     42.836    0.7889     0.03   204.19     0.00
  NGC2903             0.960   128.00     8.00    147.863     86.978    0.8175     0.08   209.11     0.00
  NGC2903             1.280   148.00     8.00    154.934    102.852    0.8629     0.07   219.11     0.00
  NGC2903             1.600   157.00     8.00    159.788    111.459    0.9102     1.76   225.96     0.00
  NGC2903             1.920   189.00     8.00    164.144    137.110    0.9640     5.17   232.02     0.00
  NGC2903             2.240   195.00     6.00    177.858    142.820    1.0000     8.23   251.26     0.00
  NGC2903             2.560   201.00     6.00    197.380    145.874    1.0000    11.05   278.70     0.00
  NGC2903             2.880   214.00     4.00    206.777    153.824    1.0000    13.64   291.79     0.00
  NGC2903             3.200   215.00     4.00    213.109    153.009    1.0000    16.01   300.53     0.00
  NGC2903             3.520   215.00     4.00    211.705    151.512    1.0000    18.18   298.29     0.00
  NGC2903             3.840   216.00     3.00    205.745    150.741    1.0000    20.14   289.57     0.00
  NGC2903             4.800   214.00     2.00    195.781    145.097    1.0000    24.78   274.65     0.00
  NGC2903             5.760   210.00     2.00    182.753    138.444    1.0000    25.77   255.87     0.00
  NGC2903             6.720   205.00     2.00    169.262    131.508    1.0000    24.89   236.77     0.00
