name,N,v_max,f_bul,f_gas,log_SBdisk,kappa_outer,kappa_center,kappa_mean,F_median,F_mean,F_inner,F_outer,mean_resid,rms_resid,corr
CamB,9,20.1,0.0,0.20276119777662893,1.0748976703249968,0.7067775463559519,0.45627754230774165,0.5757842488356754,0.3569219889125642,0.38361350957632756,0.4756828035395334,0.34686228941470054,-4.737273689875603,5.006135423669123,0.894248458593896
D512-2,4,37.2,0.0,0.1014072595498989,0.8506462351830665,0.9494365281514984,0.9303266042176127,0.9459694791621784,0.48168482991326034,0.48193651136052096,0.49501265278238865,0.4693637328331747,12.39962507795307,12.862655853709292,nan
D564-8,6,25.0,0.0,0.34956980032231005,0.3471347829100198,0.8525741852630344,0.7476043313752903,0.8085239575199296,0.43980839108415337,0.4418017174580882,0.4811704043432772,0.4064969100489574,5.149867521778184,5.179598431769795,0.9783184539622493
D631-7,16,58.5,0.0,0.5813146610675102,0.6792331602743954,0.9204237884944337,0.4155253685703545,0.6455692483548469,0.31574080769059837,0.34770986705747753,0.4608696604185553,0.29631484009158177,1.2273449524969253,5.564634299753281,0.6251231738438368
DDO064,14,46.9,0.0,0.30004836286551884,1.098404085681175,0.8470372542693241,0.3872891304412564,0.5907269995989688,0.3363336229308709,0.35387840422367134,0.47514213760432555,0.31701882111515745,4.838961145306461,5.282206433842341,0.9590364445606897
DDO154,12,48.2,0.0,0.6502015790063557,0.5187019054648524,0.9088774752681762,0.5185611149764511,0.7017967554557384,0.3481105556960436,0.370986540595099,0.4700161205888014,0.31629639121171815,5.911997253405461,6.718453325373065,0.8282048283522371
DDO161,31,67.5,0.0,0.5996565820667406,0.859045874548512,0.964544251524567,0.26944646012587575,0.6213458704238265,0.3128381953478405,0.3303896027967617,0.397707790179526,0.31367551417569545,-3.3021426422073485,5.92901862188594,0.8979548934598435
DDO168,10,55.0,0.0,0.6382753520685446,0.8320829249507451,0.8491468572227356,0.5755603258230767,0.7049955597941434,0.3791610754847698,0.39205960740650686,0.475244351392133,0.3311234014098679,1.3280452634508038,3.885387931997695,0.8021441713530075
DDO170,8,62.2,0.0,0.5688593529682999,0.37579420920526235,0.8763051775378106,0.6556772338715604,0.7718234803092908,0.39581038122818374,0.4075665328678814,0.47138312377137326,0.3679788335411541,7.875269574556299,9.241137627610007,0.449454977043209
ESO079-G014,15,178.0,0.0,0.03038481573817767,2.091089859396779,0.8530087883125443,0.35133318460246915,0.5660021863973376,0.3251307761201622,0.36002458783131974,0.467292126448777,0.31381271720988724,-4.646135705103895,11.912929367606282,0.9024666607336731
ESO116-G012,15,112.0,0.0,0.13747499593747886,1.7728558621381258,0.9106404678072075,0.41872617874862667,0.6411571075162047,0.33110054359146135,0.36241162031206536,0.4659331205252957,0.31528762886863887,3.991461919530411,6.972465653998947,0.9170150442970766
ESO444-G084,7,63.1,0.0,0.5794499275569132,0.8885538857362553,0.790059666645419,0.5801736972559632,0.6918765858445076,0.4058886609290182,0.42246971930626637,0.477568566299711,0.39361254410049334,17.18851676005873,17.637326839025658,0.9463646864315662
ESO563-G021,30,321.0,0.0,0.02558929704312729,2.437247292808752,0.9775875285135996,0.28472226044757565,0.6603177639998712,0.3418129422809879,0.35560371246941797,0.4253726331656418,0.3421176753408346,-7.14539183207451,24.08575485470993,0.9511030166038447
F561-1,6,50.4,0.0,0.1518487252765154,1.2219790184215833,0.8770988325632757,0.7555123795004536,0.8260811097281886,0.43326585108735927,0.43620758754017847,0.47829703727831974,0.40007337739778603,-1.0077460954240336,7.894172349059356,0.10127799840084463
F563-1,17,112.5,0.0,0.36149451868676485,0.8280150642239769,0.9580248690883509,0.4151827137893115,0.6587189845730872,0.2924595415409471,0.31484888583810405,0.4377511423246014,0.29142554848790003,26.512183908207017,30.336946854149293,0.3274433165178972
F563-V1,6,29.5,0.0,0.29690821051946603,0.7977290652970024,0.8750985826694813,0.7429278069875083,0.8196185869091913,0.42819205553701656,0.4317307018187752,0.4761496563139802,0.39447035638284345,-0.7583059362768388,5.896557178171235,0.21980801993393112
F563-V2,10,118.0,0.0,0.2232998877928726,1.4320388084546212,0.8313955924284389,0.4322966379721227,0.617853872479802,0.3407903710451743,0.3470044974975986,0.46764405633784867,0.25462365401820164,12.618902592924039,20.091694218372254,0.47878743286238606
F565-V2,7,83.1,0.0,0.4482547826363895,0.5743620327718135,0.8274386418521121,0.6640270516563791,0.7522635735251084,0.41385454303445013,0.42109921868901484,0.4772463700914046,0.37815355550326674,18.277044449243974,18.634017713158503,0.866377620929584
F567-2,5,52.2,0.0,0.15853144832996308,0.9339931638312423,0.8987707045509882,0.8457337000975663,0.8804117269726343,0.46344412044012684,0.4634717304043766,0.47636232668568435,0.45062582474858326,13.261813944523661,14.571311761667584,-0.23923450348859093
F568-1,12,142.0,0.0,0.16754389010617998,1.4031634335301735,0.8146833962511084,0.4310840595484966,0.6042607613562572,0.35495551491823285,0.3704767111475564,0.4756744587266457,0.3404634740899859,29.830943738300395,31.382000022840856,0.9293132528719179
F568-3,18,120.0,0.0,0.11606436763723028,1.3920517726020207,0.8433086991212095,0.29455302268814343,0.5212833996895816,0.3195113774832793,0.334868753316413,0.44087436337537483,0.3329637097016507,7.167972057036775,9.164956054921218,0.9572182727065925
F568-V1,15,118.0,0.0,0.13092753807150243,1.341773574350278,0.8508985355384593,0.417666200558891,0.6083698774174677,0.36575451004890447,0.3742113959084285,0.46862761759195143,0.36212340673573995,36.881286268588674,38.428736873950115,0.9754485345902059
F571-8,13,144.0,0.0,0.012609526765680053,2.4217135833486116,0.7738453361543223,0.35795334595009587,0.5349111645721601,0.35036882255346335,0.37161276890745665,0.4791032099169328,0.3678015718311676,0.5608450876741623,31.32758882642135,-0.0630163050629484
F571-V1,7,84.3,0.0,0.3493087646569894,0.8466463285771175,0.8632689364120967,0.6653797673864181,0.7732547638197157,0.40315929934635797,0.4130489270234606,0.4712872265206193,0.37276747696789986,14.841763801594686,15.648826810592444,0.6743570400147297
F574-1,14,99.7,0.0,0.08861637688974486,1.3752715924371377,0.9192626658107605,0.46680398251960353,0.6800867004910431,0.3398008685066969,0.3654978158304795,0.47490275910917656,0.307250185278341,10.291364256540572,13.649050104951865,0.6234611327716182
F574-2,5,40.0,0.0,0.21649855970628087,0.9311526385232933,0.8871859775488726,0.842878018256885,0.8719125295937078,0.4683531899185166,0.4683652713349328,0.4797556106018212,0.4569944947643906,-1.6606668036645416,5.879976628729983,0.9153649735761281
F579-V1,14,114.0,0.0,0.05989994728916185,1.6466067509948425,0.901269116387087,0.4823248196713723,0.6765001699805583,0.3723323483450825,0.3857854834237219,0.4700656095302044,0.37343175219907965,23.758710353152228,24.53463255809398,0.901381925284573
F583-1,25,86.9,0.0,0.18450076806553425,1.0019405420931753,0.8039848647195604,0.20054429992716166,0.46868926232367947,0.2977269552581307,0.31751886528150153,0.419623786886664,0.3020213593134295,11.601573266133853,15.908325768848389,0.7379508095365034
F583-4,12,69.9,0.0,0.061681004675571804,1.344874356946789,0.861555355940437,0.468451576202209,0.6617939030497892,0.29902136847729904,0.33817474828157496,0.4725391672866502,0.2952878260535484,5.025548454425766,7.599660351244315,0.8140233215417566
IC2574,34,67.5,0.0,0.2523243187082584,0.7222996421499358,0.9203545859592266,0.2574318889949445,0.5791050957215376,0.2696051844077423,0.2982018101420499,0.4123599919547692,0.26256739542048985,-1.5680138372415109,4.107002673926008,0.8683212418979857
IC4202,32,250.0,0.9757270538374077,0.027234807385777306,2.1135234705963843,0.9659979707604207,0.38197706053266844,0.7128002233909652,0.34187119578926156,0.35498501394776194,0.43073121840701384,0.32947930330164904,-36.92322857245274,42.70871281909972,0.909981400524829
KK98-251,15,34.6,0.0,0.5832257792586816,0.6536947953150819,0.831312692603922,0.3435147622843733,0.5524591691233667,0.3164125991576824,0.3412975306126703,0.45147246210136344,0.3127263970963629,-1.3499525679482056,1.9889959148937062,0.9717124051940818
NGC0024,29,110.0,0.0,0.0562827822194363,2.1249732461379747,0.8477091774431915,0.266009156978496,0.5072948915884159,0.3275196022862563,0.3385859474835336,0.4360483171811073,0.32612137629373283,15.978739196771915,18.124125089803737,0.9853523767088013
NGC0055,21,87.4,0.0,0.39811987188702974,1.1162589730897563,0.968510584541304,0.43974314573436457,0.7011634632898404,0.3213119736461143,0.3467268621865389,0.4461848786526238,0.3190850324577694,-4.6058035811456595,7.900537021648341,0.7498953453409651
NGC0100,21,91.2,0.0,0.08166684156911787,1.4852142508056947,0.9378558919615739,0.35068060510558563,0.6350641911793773,0.300060613054985,0.3341140179196473,0.45459653486813945,0.27713198315508014,-1.068277084263721,5.318999050161531,0.8909303579532781
NGC0247,26,108.0,0.0,0.17257685369546266,1.2419676982199161,0.9553894637778495,0.406094356606711,0.6769120116412205,0.3102270098137678,0.3410107252764686,0.44268229964021905,0.3038914924846133,3.058513454137846,9.082092124360127,0.6655484826042591
NGC0289,28,194.0,0.0,0.22071131470084285,2.104805659173203,1.0003001446700381,0.48907928260916145,0.7588149572573266,0.38865007001123314,0.3970582175466158,0.45158182311149575,0.3659803308895194,4.04192328799527,23.283957394643107,0.6226911842884687
NGC0300,25,97.0,0.0,0.15819320488797414,1.2134402765538244,0.9725286343552346,0.44233726859049394,0.715787381695245,0.32584811860547724,0.3511663258162423,0.43962476159894254,0.3215424003653369,8.643576172948721,11.009236239295083,0.8096414149770544
NGC0801,13,238.0,0.0,0.044526875560558565,2.8979847330103183,0.9332965411095889,0.4200442157424643,0.6589723514315117,0.3971632762157058,0.39467575854138004,0.4536235583927609,0.3615018860830467,-20.381706594361315,21.843699054693637,0.9787331230704887
NGC0891,18,234.0,0.8148299419499029,0.018941935819309082,2.6149220179795107,1.0214420326339517,0.5775960446175359,0.8175000859212711,0.37074313003719156,0.3859487862379909,0.4505537874786853,0.36153994638376935,-62.624021928753045,66.10537192716428,0.8061705621952908
NGC1003,36,115.0,0.0,0.28045349097626915,1.3439990690571613,0.9565981693670662,0.42200192804097236,0.7110559884790358,0.34889704293799784,0.3570379392214576,0.43442775043359794,0.30981194855744904,8.686645425931003,14.146491583642012,0.2338990709201555
NGC1090,24,176.0,0.0,0.06648200591747623,2.2196676553459023,1.005140200913665,0.4053717248621782,0.7357737304474901,0.34842957351938536,0.3635318814624197,0.4577213345642729,0.35149539893813897,-14.503913369604303,18.924922125162844,0.9056711817670506
NGC1705,14,73.2,0.0,0.20948451394916473,1.8025753407759177,0.9726756357060221,0.5406414024960037,0.766923283895175,0.36906098512704344,0.3871859807231001,0.46751755179837834,0.35368363522599366,17.501146260754673,18.098638290553637,0.8325027095712262
NGC2366,26,53.7,0.0,0.4840796948136745,0.9409943443043473,0.9925314341860745,0.31816191282693757,0.6746430897725222,0.32166484584061045,0.33953013900304857,0.4379335167418228,0.33911860331506605,-0.8219704646884836,5.5309824860494725,0.776893557066496
NGC2403,73,136.0,0.0,0.14957706384222538,2.2399705055116415,0.9448446839968336,0.22852155122430418,0.5897090246818194,0.35492577163956496,0.35793447371644105,0.3908299628300046,0.33535065246799783,-0.0140079413355411,14.244776529678674,0.6949902298308824
NGC2683,11,212.0,0.16153756775248548,0.019462978717646167,2.0887472160536618,1.0458385439107254,0.6364709331732623,0.8616854509882285,0.38042579033447943,0.3956051027213592,0.4505497954808297,0.3813323155062886,6.616952409997518,13.583036740767094,0.9615703025091549
NGC2841,50,323.0,0.6823716148949458,0.08068170552727284,2.228605650355092,0.9255172970641963,0.5224568242363059,0.712993950954143,0.4086571578442355,0.4006818180360527,0.4273596460850083,0.3404858179450811,20.960173835924557,27.687889547488673,0.9131684190328396
NGC2903,34,216.0,0.0,0.025974656073965968,2.8554011178406817,0.9920545086178751,0.37640187535007613,0.7220462462809811,0.3870279577474839,0.38625699234305494,0.43666871759676346,0.3653149570340813,-26.332948888942788,37.9608826812618,0.7164038751950952
NGC2915,30,86.5,0.0,0.2955683989106266,1.4630845739674536,0.9524339683597725,0.3879637732053212,0.7055565505176723,0.34391077334954956,0.3566480481935311,0.4311069880028798,0.32078709575322023,15.767220400942014,20.53199304001304,-0.5299556139342898
NGC2955,24,276.0,0.9020354488653475,0.03229829316028217,2.5521615479079465,1.0045208728283668,0.4736916696164852,0.7126166078590158,0.37819768778692875,0.38729374997747906,0.4590103923667286,0.3742763261358853,-29.238689431543563,36.40663703395832,0.7289298961846107
NGC2976,27,88.7,0.0,0.05579179504567451,2.3582916740682855,0.8732466239278831,0.21162702444642065,0.5147298723792895,0.2794112344494593,0.3058558956897903,0.4255975640833755,0.3047525129525252,-11.581382059518038,12.891330311351556,0.9583217552217779
NGC2998,13,214.0,0.0,0.06193863188842481,2.658510383343011,0.912648221959403,0.42610097999178076,0.6464426600739466,0.4024622751426907,0.4010727595660225,0.4768811189734578,0.3510359197301193,4.9006317566560265,16.629196306390593,0.9119989299526603
NGC3109,25,67.3,0.0,0.5104106460441717,0.5285661329383692,0.9224505094184855,0.2808900953261388,0.5970980817454014,0.2863153612264639,0.31892957079176976,0.4323202162170352,0.28609850500162703,5.844982332894691,7.463853266769062,0.8923752350114794
NGC3198,43,157.0,0.0,0.09375188054555614,2.150608462559858,0.9459851459380704,0.23453561064457115,0.5911285809077728,0.35881773568509245,0.3610980846827653,0.4132233665530495,0.3543291063631375,0.9563282454452545,16.407791334682422,0.8668308845103616
NGC3521,41,220.0,0.0,0.009940788235375884,2.968812397039061,0.8339538960038434,0.44118998620263755,0.6508754678677644,0.3947386254983508,0.3955602784087511,0.433401396567234,0.3532745461100462,-30.674636509803825,32.45321297240862,0.8518078937095835
NGC3726,12,169.0,0.0,0.06817546130317269,1.905059579854848,0.9246100060423516,0.5600362249904113,0.7280419091168137,0.36396899520740283,0.3815668361885554,0.4631941626551725,0.3193771102538311,-18.538134092292434,19.173892335932685,0.951346964211803
NGC3741,21,51.6,0.0,0.6260738997994698,0.798650645445269,0.8930192334841807,0.34328864283366317,0.5854037136775551,0.32907415705364607,0.3547189767541494,0.45755966059725317,0.3087032860538279,6.800808079983827,8.271377774865488,0.7836102541174724
NGC3769,12,126.0,0.0,0.1574162210135481,1.7649064018788558,0.9568454304861506,0.5325093686842797,0.7217964866196089,0.36403025736168215,0.3723172834690016,0.46915154796535213,0.28802438813746567,2.804586805697616,15.379706015127969,0.6051520044416596
NGC3877,13,171.0,0.0,0.01271305683224207,2.3990290552933113,0.9268333983587096,0.5102184591527391,0.7085243163734195,0.34332987547449173,0.3697879577955021,0.46964121528582153,0.3231261010917806,-33.09381437265176,41.993927378277796,0.3719856466763493
NGC3893,10,194.0,0.0,0.06249739650766868,2.252664283491539,0.989737208588434,0.6113580666252456,0.808122678452371,0.37566555281081554,0.39132868262397297,0.45617989688254845,0.35548059484009076,-8.156647811383117,15.212595717023488,0.8997126429053176
NGC3917,17,138.0,0.0,0.04712175945843223,1.7717776348985803,0.961876746676054,0.45140766461625864,0.6941628864591083,0.3273812701616583,0.3570738879759359,0.46231386946471636,0.32164545761688434,-2.472364944647314,11.076148585722802,0.8023941696623212
NGC3949,7,169.0,0.0,0.033307244373762826,2.3967073463412145,0.9057680030394446,0.7153555517850427,0.8202711459165632,0.3948374530352037,0.4077045347776082,0.4598639707532408,0.3789856119442528,-29.27936486794421,30.949669067004418,0.37762107646881926
NGC3953,8,224.0,0.0,0.009061167536977333,2.2810958920569258,0.9457627462806399,0.6962060893961629,0.829643700508203,0.37992407046048793,0.39506433730869595,0.45709486137231303,0.3643110005688489,-25.098840503935037,38.20420720626852,-0.4467001001741297
